	Unnamed: 0.5	Unnamed: 0.4	Unnamed: 0.3	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	año	id_distrito	distrito	id_barrio	barrio	id_uso	uso	num_inmuebles	año_cons_medio	sup_cons	sup_suelo	valor_catastral	nueva_columna
0	0	0	0	0	0	0	2014	1	Centro	11	PALACIO	A	Almacén-Estacionamiento	3034	1969.0	214457.0		129525903.84	27777736759814.88
1	1	1	1	1	1	1	2014	1	Centro	11	PALACIO	C	Comercial	1407	1921.0	223552.0		407605466.44	91121017233594.88
2	2	2	2	2	2	2	2014	1	Centro	11	PALACIO	E	Cultural	36	1937.0	62963.0		75828716.0	4774403445508.0
3	3	3	3	3	3	3	2014	1	Centro	11	PALACIO	G	Ocio y Hostelería	254	1919.0	114226.0		195413848.02	22321342203932.52
4	4	4	4	4	4	4	2014	1	Centro	11	PALACIO	I	Industrial	22	1942.0	13228.0		11807949.49	156195555853.72
5	5	5	5	5	5	5	2014	1	Centro	11	PALACIO	K	Deportivo	8	1946.0	7238.0		10614658.96	76828901552.48001
6	6	6	6	6	6	6	2014	1	Centro	11	PALACIO	M	Suelos sin edificar, obras de urbanización y jardinería	47			130010.0	19915201.81	
7	7	7	7	7	7	7	2014	1	Centro	11	PALACIO	O	Oficinas	559	1947.0	196893.0		340784134.7	67098010633487.09
8	8	8	8	8	8	8	2014	1	Centro	11	PALACIO	P	Edificio Singular	15	1891.0	197518.0		281666751.43	55634253408950.74
9	9	9	9	9	9	9	2014	1	Centro	11	PALACIO	R	Religioso	17	1884.0	102718.0		114254183.76	11735961247459.68
10	10	10	10	10	10	10	2014	1	Centro	11	PALACIO	T	Espectáculos	6	1941.0	86233.0		156383941.89	13485456461000.37
11	11	11	11	11	11	11	2014	1	Centro	11	PALACIO	V	Residencial	13133	1928.0	1367429.0		1856664182.99	2538856447081832.5
12	12	12	12	12	12	12	2014	1	Centro	11	PALACIO	Y	Sanidad y Beneficencia	11	1939.0	25101.0		25184133.43	632146933226.4299
13	13	13	13	13	13	13	2014	1	Centro	12	EMBAJADORES	A	Almacén-Estacionamiento	3989	1974.0	261306.0		140312140.59	36664404209010.54
14	14	14	14	14	14	14	2014	1	Centro	12	EMBAJADORES	C	Comercial	2630	1925.0	393880.0		574936352.75	226455930621170.0
15	15	15	15	15	15	15	2014	1	Centro	12	EMBAJADORES	E	Cultural	48	1920.0	184010.0		210333924.76	38703545495087.6
16	16	16	16	16	16	16	2014	1	Centro	12	EMBAJADORES	G	Ocio y Hostelería	114	1919.0	56970.0		88238015.63	5026919750441.1
17	17	17	17	17	17	17	2014	1	Centro	12	EMBAJADORES	I	Industrial	25	1938.0	3677.0		2699860.87	9927388418.99
18	18	18	18	18	18	18	2014	1	Centro	12	EMBAJADORES	K	Deportivo	2	1988.0	1092.0		1413430.17	1543465745.64
19	19	19	19	19	19	19	2014	1	Centro	12	EMBAJADORES	M	Suelos sin edificar, obras de urbanización y jardinería	36			19914.0	16791454.5	
20	20	20	20	20	20	20	2014	1	Centro	12	EMBAJADORES	O	Oficinas	176	1944.0	90991.0		85483632.55	7778241209357.05
21	21	21	21	21	21	21	2014	1	Centro	12	EMBAJADORES	P	Edificio Singular	3	1918.0	18576.0		18586882.51	345269929505.76
22	22	22	22	22	22	22	2014	1	Centro	12	EMBAJADORES	R	Religioso	8	1865.0	17785.0		15345569.12	272920946799.2
23	23	23	23	23	23	23	2014	1	Centro	12	EMBAJADORES	T	Espectáculos	7	1935.0	21278.0		28170766.1	599417561075.8
24	24	24	24	24	24	24	2014	1	Centro	12	EMBAJADORES	V	Residencial	24603	1927.0	1984457.0		2467074544.58	4895803349513593.0
25	25	25	25	25	25	25	2014	1	Centro	12	EMBAJADORES	Y	Sanidad y Beneficencia	9	1982.0	8165.0		8949180.47	73070058537.55
26	26	26	26	26	26	26	2014	1	Centro	13	CORTES	A	Almacén-Estacionamiento	1532	1967.0	119842.0		87283393.56	10460216451017.52
27	27	27	27	27	27	27	2014	1	Centro	13	CORTES	C	Comercial	858	1916.0	146986.0		285597289.51	41978803195916.86
28	28	28	28	28	28	28	2014	1	Centro	13	CORTES	E	Cultural	22	1952.0	57893.0		112294811.69	6501083533169.17
29	29	29	29	29	29	29	2014	1	Centro	13	CORTES	G	Ocio y Hostelería	201	1950.0	277754.0		542910593.51	150795588989776.53
30	30	30	30	30	30	30	2014	1	Centro	13	CORTES	I	Industrial	9	1945.0	13510.0		13005693.38	175706917563.80002
31	31	31	31	31	31	31	2014	1	Centro	13	CORTES	K	Deportivo	1	1917.0	260.0		372685.34	96898188.4
32	32	32	32	32	32	32	2014	1	Centro	13	CORTES	M	Suelos sin edificar, obras de urbanización y jardinería	6			1817.0	4622966.0	
33	33	33	33	33	33	33	2014	1	Centro	13	CORTES	O	Oficinas	369	1946.0	420640.0		946732510.93	398233563397595.2
34	34	34	34	34	34	34	2014	1	Centro	13	CORTES	P	Edificio Singular	23	1934.0	219215.0		316172247.13	69309699154602.95
35	35	35	35	35	35	35	2014	1	Centro	13	CORTES	R	Religioso	8	1868.0	27211.0		25747882.38	700625627442.1799
36	36	36	36	36	36	36	2014	1	Centro	13	CORTES	T	Espectáculos	6	1929.0	29081.0		39020249.56	1134747877454.36
37	37	37	37	37	37	37	2014	1	Centro	13	CORTES	V	Residencial	6456	1921.0	774864.0		1177535857.59	912430144755617.8
38	38	38	38	38	38	38	2014	1	Centro	13	CORTES	Y	Sanidad y Beneficencia	2	1930.0	1467.0		1607416.91	2358080606.97
39	39	39	39	39	39	39	2014	1	Centro	14	JUSTICIA	A	Almacén-Estacionamiento	2878	1977.0	186131.0		116947886.59	21767627078883.29
40	40	40	40	40	40	40	2014	1	Centro	14	JUSTICIA	C	Comercial	1326	1923.0	231296.0		518477250.13	119921714046068.48
41	41	41	41	41	41	41	2014	1	Centro	14	JUSTICIA	E	Cultural	37	1942.0	48937.0		64809462.32	3171580657553.84
42	42	42	42	42	42	42	2014	1	Centro	14	JUSTICIA	G	Ocio y Hostelería	76	1944.0	58412.0		125226330.71	7314720429432.52
43	43	43	43	43	43	43	2014	1	Centro	14	JUSTICIA	I	Industrial	15	1965.0	2778.0		2742294.87	7618095148.860001
44	44	44	44	44	44	44	2014	1	Centro	14	JUSTICIA	K	Deportivo	10	1975.0	3335.0		6710735.12	22380301625.2
45	45	45	45	45	45	45	2014	1	Centro	14	JUSTICIA	M	Suelos sin edificar, obras de urbanización y jardinería	18			16526.0	4662651.32	
46	46	46	46	46	46	46	2014	1	Centro	14	JUSTICIA	O	Oficinas	560	1945.0	436321.0		918192065.1	400626480036497.1
47	47	47	47	47	47	47	2014	1	Centro	14	JUSTICIA	P	Edificio Singular	23	1990.0	147805.0		247743143.93	36617675388573.65
48	48	48	48	48	48	48	2014	1	Centro	14	JUSTICIA	R	Religioso	22	1857.0	19366.0		25850058.09	500612224970.94
49	49	49	49	49	49	49	2014	1	Centro	14	JUSTICIA	T	Espectáculos	4	1922.0	13082.0		22667110.59	296531140738.38
50	50	50	50	50	50	50	2014	1	Centro	14	JUSTICIA	V	Residencial	10217	1928.0	1335300.0		2159104673.83	2883052470965199.0
51	51	51	51	51	51	51	2014	1	Centro	14	JUSTICIA	Y	Sanidad y Beneficencia	5	1973.0	10576.0		18589952.16	196607334044.16
52	52	52	52	52	52	52	2014	1	Centro	15	UNIVERSIDAD	A	Almacén-Estacionamiento	4751	1974.0	267250.0		161123772.98	43060328328905.0
53	53	53	53	53	53	53	2014	1	Centro	15	UNIVERSIDAD	C	Comercial	1722	1923.0	330104.0		785745526.18	259377741174122.7
54	54	54	54	54	54	54	2014	1	Centro	15	UNIVERSIDAD	E	Cultural	32	1939.0	84399.0		87111997.27	7352165457590.7295
55	55	55	55	55	55	55	2014	1	Centro	15	UNIVERSIDAD	G	Ocio y Hostelería	131	1918.0	141801.0		268687260.0	38100122155260.0
56	56	56	56	56	56	56	2014	1	Centro	15	UNIVERSIDAD	I	Industrial	45	1931.0	12558.0		14141328.44	177586802549.52
57	57	57	57	57	57	57	2014	1	Centro	15	UNIVERSIDAD	K	Deportivo	7	1958.0	2009.0		2976521.69	5979832075.21
58	58	58	58	58	58	58	2014	1	Centro	15	UNIVERSIDAD	M	Suelos sin edificar, obras de urbanización y jardinería	14			4413.0	3989120.45	
59	59	59	59	59	59	59	2014	1	Centro	15	UNIVERSIDAD	O	Oficinas	734	1955.0	382141.0		655640926.8	250547279408278.8
60	60	60	60	60	60	60	2014	1	Centro	15	UNIVERSIDAD	P	Edificio Singular	16	1952.0	156270.0		213494712.91	33362818786445.7
61	61	61	61	61	61	61	2014	1	Centro	15	UNIVERSIDAD	R	Religioso	16	1902.0	89395.0		72996905.23	6525558343035.851
62	62	62	62	62	62	62	2014	1	Centro	15	UNIVERSIDAD	T	Espectáculos	1	1900.0	159.0		215200.63	34216900.17
63	63	63	63	63	63	63	2014	1	Centro	15	UNIVERSIDAD	V	Residencial	19645	1929.0	1811563.0		2496611676.55	4522769338605948.0
64	64	64	64	64	64	64	2014	1	Centro	15	UNIVERSIDAD	Y	Sanidad y Beneficencia	19	1923.0	8660.0		9225742.26	79894927971.59999
65	65	65	65	65	65	65	2014	1	Centro	16	SOL	A	Almacén-Estacionamiento	818	1954.0	102133.0		67395619.86	6883316843161.38
66	66	66	66	66	66	66	2014	1	Centro	16	SOL	C	Comercial	1250	1916.0	384213.0		1430993026.7	549806123767487.1
67	67	67	67	67	67	67	2014	1	Centro	16	SOL	E	Cultural	5	1926.0	17171.0		25943068.88	445468435738.48
68	68	68	68	68	68	68	2014	1	Centro	16	SOL	G	Ocio y Hostelería	209	1935.0	183426.0		328191947.07	60198936083261.82
69	69	69	69	69	69	69	2014	1	Centro	16	SOL	I	Industrial	6	1943.0	307.0		290254.82	89108229.74000001
70	70	70	70	70	70	70	2014	1	Centro	16	SOL	K	Deportivo	1	1890.0	797.0		482127.3	384255458.1
71	71	71	71	71	71	71	2014	1	Centro	16	SOL	M	Suelos sin edificar, obras de urbanización y jardinería	40			28578.0	5464106.02	
72	72	72	72	72	72	72	2014	1	Centro	16	SOL	O	Oficinas	942	1942.0	342026.0		607988820.99	207947984487925.7
73	73	73	73	73	73	73	2014	1	Centro	16	SOL	P	Edificio Singular	11	1919.0	128597.0		180020893.16	23150146797696.52
74	74	74	74	74	74	74	2014	1	Centro	16	SOL	R	Religioso	8	1817.0	18134.0		15887862.22	288110493497.48004
75	75	75	75	75	75	75	2014	1	Centro	16	SOL	T	Espectáculos	7	1936.0	23332.0		38088681.69	888685121191.08
76	76	76	76	76	76	76	2014	1	Centro	16	SOL	V	Residencial	4433	1918.0	641754.0		907300608.02	582263794399267.1
77	77	77	77	77	77	77	2014	1	Centro	16	SOL	Y	Sanidad y Beneficencia	1	1925.0	2109.0		1435914.67	3028344039.03
78	78	78	78	78	78	78	2014	2	Arganzuela	21	IMPERIAL	A	Almacén-Estacionamiento	4913	1993.0	278393.0		124955996.7	34786874789303.1
79	79	79	79	79	79	79	2014	2	Arganzuela	21	IMPERIAL	C	Comercial	633	1967.0	85820.0		114249046.9	9804853204958.0
